id,name,category,price
1,Notebook,Stationery,5.20
2,Desk,Furniture,280.00
3,Monitor,Electronics,320.00
4,Chair,Furniture,95.00
5,Printer,Electronics,210.00
6,Laptop,Electronics,1250.00
7,Keyboard,Electronics,28.00
8,Mouse,Electronics,18.00
9,Phone,Electronics,420.00
10,Tablet,Electronics,520.00
11,Router,Electronics,65.00
12,Headset,Electronics,35.00
13,Camera,Electronics,430.00
14,Speaker,Electronics,45.00
15,SSD,Electronics,80.00
16,HDD,Electronics,60.00
17,Webcam,Electronics,40.00
18,DeskLamp,Furniture,22.00
19,OfficeChair,Furniture,145.00
20,MonitorStand,Accessories,25.00
21,Projector,Electronics,880.00
22,Whiteboard,Office,110.00
23,UPS,Electronics,190.00
24,Microphone,Electronics,55.00
25,Switch,Electronics,230.00
