id,product,amount,date,region
1,Notebook,1200.50,2025-01-03,North
2,Desk,980.00,2025-01-05,East
3,Monitor,1420.00,2025-01-06,West
4,Chair,210.00,2025-01-07,North
5,Printer,650.00,2025-01-09,South
6,Laptop,2100.00,2025-01-10,West
7,Keyboard,85.00,2025-01-11,East
8,Mouse,45.00,2025-01-12,East
9,Phone,520.00,2025-01-14,South
10,Tablet,780.00,2025-01-15,North
11,Router,130.00,2025-01-16,West
12,Headset,95.00,2025-01-17,North
13,Camera,890.00,2025-01-18,East
14,Speaker,150.00,2025-01-20,South
15,SSD,160.00,2025-01-21,West
16,HDD,110.00,2025-01-22,West
17,Webcam,75.00,2025-01-23,East
18,DeskLamp,40.00,2025-01-24,North
19,OfficeChair,310.00,2025-01-25,South
20,MonitorStand,65.00,2025-01-26,North
21,Projector,1850.00,2025-01-27,East
22,Whiteboard,240.00,2025-01-28,West
23,UPS,430.00,2025-01-29,South
24,Microphone,120.00,2025-01-30,North
25,Switch,560.00,2025-02-01,East
